carga_atual,dias_treinados,meta_reps,reps_feitas,falhas_consecutivas,proxima_carga
12,0,10,7,0,12
12,1,10,11,1,12
12,2,10,13,0,14
14,0,10,10,0,14
14,1,10,10,0,14
14,2,10,10,0,16
16,0,10,11,0,16
16,1,10,12,0,18
18,0,10,7,0,18
18,1,10,7,1,16
16,0,10,12,0,18
18,0,10,9,0,18
18,1,10,10,1,18
18,2,10,10,0,20
20,0,10,12,0,22
22,0,10,6,0,22
22,1,10,10,1,22
22,2,10,9,0,22
22,3,10,6,1,20
20,0,10,13,0,22
22,0,10,11,0,22
22,1,10,10,0,22
22,2,10,10,0,24
24,0,10,11,0,24
24,1,10,12,0,26
26,0,10,11,0,26
26,1,10,11,0,26
26,2,10,7,0,26
26,3,10,10,1,28
28,0,10,13,0,30
30,0,10,9,0,30
30,1,10,12,1,32
32,0,10,5,0,32
32,1,10,11,1,32
32,2,10,11,0,34
34,0,10,10,0,34
34,1,10,12,0,36
36,0,10,6,0,36
36,1,10,12,1,38
38,0,10,6,0,38
38,1,10,10,1,38
38,2,10,9,0,38
38,3,10,12,1,40
40,0,10,6,0,40
40,1,10,7,1,36
36,0,10,10,0,36
36,1,10,10,0,36
36,2,10,7,0,36
36,3,10,13,1,38
38,0,10,12,0,40
8,0,10,13,0,10
10,0,10,13,0,12
12,0,10,5,0,12
12,1,10,11,1,12
12,2,10,10,0,14
14,0,10,10,0,14
14,1,10,11,0,14
14,2,10,11,0,16
16,0,10,13,0,18
18,0,10,12,0,20
20,0,10,11,0,20
20,1,10,13,0,22
22,0,10,10,0,22
22,1,10,8,0,22
22,2,10,13,1,24
24,0,10,11,0,24
24,1,10,12,0,26
26,0,10,5,0,26
26,1,10,12,1,28
28,0,10,10,0,28
28,1,10,11,0,28
28,2,10,13,0,30
30,0,10,5,0,30
30,1,10,9,1,28
28,0,10,12,0,30
30,0,10,12,0,32
32,0,10,13,0,34
34,0,10,13,0,36
36,0,10,5,0,36
36,1,10,5,1,32
32,0,10,11,0,32
32,1,10,10,0,32
32,2,10,13,0,34
34,0,10,13,0,36
36,0,10,7,0,36
36,1,10,13,1,38
38,0,10,8,0,38
38,1,10,6,1,34
34,0,10,5,0,34
34,1,10,13,1,36
36,0,10,13,0,38
38,0,10,11,0,38
38,1,10,12,0,40
40,0,10,6,0,40
40,1,10,12,1,42
42,0,10,11,0,42
42,1,10,7,0,42
42,2,10,5,1,38
38,0,10,8,0,38
38,1,10,9,1,34
10,0,10,8,0,10
10,1,10,12,1,12
12,0,10,13,0,14
14,0,10,12,0,16
16,0,10,10,0,16
16,1,10,11,0,16
16,2,10,11,0,18
18,0,10,13,0,20
20,0,10,13,0,22
22,0,10,11,0,22
22,1,10,5,0,22
22,2,10,10,1,24
24,0,10,13,0,26
26,0,10,13,0,28
28,0,10,6,0,28
28,1,10,6,1,26
26,0,10,12,0,28
28,0,10,11,0,28
28,1,10,8,0,28
28,2,10,12,1,30
30,0,10,11,0,30
30,1,10,7,0,30
30,2,10,10,1,32
32,0,10,13,0,34
34,0,10,5,0,34
34,1,10,6,1,30
30,0,10,6,0,30
30,1,10,11,1,30
30,2,10,11,0,32
32,0,10,11,0,32
32,1,10,6,0,32
32,2,10,10,1,34
34,0,10,13,0,36
36,0,10,9,0,36
36,1,10,10,1,36
36,2,10,5,0,36
36,3,10,6,1,32
32,0,10,6,0,32
32,1,10,13,1,34
34,0,10,13,0,36
36,0,10,10,0,36
36,1,10,9,0,36
36,2,10,12,1,38
38,0,10,8,0,38
38,1,10,13,1,40
40,0,10,11,0,40
